number,name,attr,function,cure,r,g,b,img_src
1,腎上腺,腎上腺位於腎臟的上端，左右各一。腎上腺是人體重要的內分泌腺，分泌的激素可以維持人體糖和蛋白質的代謝平衡，並維持水和鹽的代謝。,補腎填精，活血怯風，抗休克，抗過敏,腎上腺疾病，各種感染，心律不整，休克，過敏性疾病，風濕病，糖尿病,100,220,180,img/color腎上腺.png
2,腎臟,腎位於脊椎兩側，腹膜後方，具有生殖，泌尿和內分泌功能,補腎填精，壯陽，溫經通脈，醒神開竅，清熱利濕，利尿通淋,泌尿系統疾病，腎病,220,50,50,img/color腎臟.png
3,輸尿管,輸尿管位於人體下腹腔，左右各一，上連腎盂，下連膀胱，具有輸送尿液的作用,清熱利濕，通淋排石，瀉火解毒,尿路結石，前列腺炎，排尿困難,70,150,70,img/color輸尿管.png
4,膀胱,膀胱位於人體下腹部，是儲存尿液的器官，具有氣化的作用,清熱瀉火，通利小便，解毒,膀胱炎，泌尿系統結石,100,200,150,img/color膀胱.png
5,額竇,額竇位於人體頭部前額，是與鼻腔相通的含氣腔隙,清熱疏風，通絡止痛,前額痛，頭暈，眼病，鼻病，視物不清,120,130,100,img/color額竇.png
6,三叉神經,三叉神經位於頭部兩側，包括眼神經，上頜神經，下頜神經,活血，通絡，止痛,偏頭痛，三叉神經痛，牙痛，五官病痛,70,200,180,img/color三叉神經.png
7,小腦和腦幹,小腦位於大腦的下方，可以維持身體的平衡，協調肌肉的運動。腦幹位於大腦和脊髓之間，包括腦橋，中腦，延髓，內有重要的神經中樞，能傳導神經衝動,清熱疏風，通絡止痛,頭痛，頭暈，高血壓，失眠，記憶力減退，運動平衡失調,200,200,70,img/color腦幹小腦.png
8,頸,頸項位於頭與胸之間，前稱頸，後稱項。頸項可以協調頭部向各個方向移動,疏通經絡，柔頸止痛,頸部酸痛，落枕，高血壓，頭痛，頭暈，消化道疾病,70,150,150,img/color頸.png
9,鼻,鼻位於呼吸道起始部位，是嗅覺器官，為呼吸出入的門戶,清熱，疏風，通利鼻竅,鼻病，呼吸道疾病,180,130,180,img/color鼻子.png
10,大腦,大腦位在顱腔之中，可以調節軀體運動及內臟活動，具有調節體溫，生殖功能，分析感覺功能,平肝潛腸，清腦明目，鎮靜安神，舒筋通絡,頭痛，頭暈，失眠，高血壓，腦血管疾病，神經衰弱,180,80,170,img/color大腦.png
11,腦垂體,腦垂體位於大腦下方，最重要的內分泌腺，對人體生長及其他內分泌腺活動具有重要影響,調節內分泌功能，平衡陰陽,內分泌功能失調，更年期，抗衰老,150,40,90,img/color腦垂體.png
12,甲狀腺,甲狀腺位於頸前部，能分泌甲狀腺素和儲存碘，促進人體新陳代謝，維持人體正常發育生長，尤其是骨骼與神經系統的發育,調節激素分泌，平衡陰陽,失眠，心悸，肥胖症,100,70,150,img/color甲狀腺.png
13,眼,眼由眼球，眼瞼，淚器，眼窩，眼肌五大部份組成，是重要的感覺器官,清肝，養肝，明目,眼病，肝病,30,70,170,img/color眼睛.png
14,耳,耳由外耳，中耳，內耳三部份組成。外耳和中耳蒐集和傳導聲波，內耳是接受聲波和位覺刺激的感受器,補腎，開竅，聰耳,耳病，眩暈，暈車,70,60,170,img/color耳朵.png
15,斜方肌,斜方肌位於項部及背部，參與肩胛骨活動,舒筋活絡，怯風除濕,落枕，頸背酸痛，手臂無力,200,200,70,img/color斜方肌.png
16,頸椎,頸椎位於脊椎的最上端，由七節頸椎體構成。頸椎能支持頭部，保持全身平衡,舒筋，活血，通脈,頸椎病，頸僵硬或酸痛，落枕,130,180,180,img/color頸椎.png
17,肺和支氣管,肺位於胸腔內，是氣體交換的場所，支氣管是氣體進出的通道,補氣益氣，清熱解毒,鼻病，心臟病，便秘，肺病,200,100,150,img/color肺_支氣管.png
18,心,心位於胸腔的前縱隔內，左右肺之間，是心血管系統的中樞，推動人體血液循環運行,補氣，養心，生血,心臟病，高血壓，休克，失眠，盜汗，肺病,200,70,130,img/color心臟.png
19,脾,脾位於左上腹部，具有儲血和免疫功能,健脾化濕，統攝血液，增強免疫力,發熱，炎症，貧血，高血壓，舌炎，食慾不振，消化不良，皮膚過敏,70,130,200,img/color脾臟.png
20,肝,肝位於胸腔右上腹，是人體最大的腺體，能分泌膽汁，幫助消化，具有代謝解毒功能,疏肝利膽，清熱解讀，補益肝血，平肝潛腸,肝病，眼病，眩暈，血脂,70,120,160,img/color肝臟.png
21,膽囊,膽囊位於肝右葉下方，功能為貯存和濃縮膽汁，對食物進行消化,清熱化濕，利膽止痛,肝病，失眠，消化不良，腸胃功能紊亂,220,60,30,img/color膽囊.png
22,胃,胃大部分位於左邊肋骨內，小部份位於腹上部，有分泌胃液，容納和消化食物的功能,降逆和胃，裡氣止痛,胃病，厭食，消化不良，糖尿病,80,180,100,img/color胃.png
23,胰,位於胃的後方，外型狹長，可分泌胰液，幫助人體消化蛋白質與脂肪，分泌胰島素等，對人體內醣，蛋白質及脂肪的代謝有重要調節作用,降醣清胰,消化不良，糖尿病,100,100,220,img/color胰腺.png
24,小腸,小腸位於腹腔，上起十二指腸，下與大腸相接，是人體消化，吸收食物最重要場所,消食導滯，健脾行氣,腹瀉，腸胃功能紊亂，消化不良，心律失常，失眠,100,180,200,img/color小腸.png
25,升結腸,升結腸位於右腹部，上接盲腸，沿腹右側上升到肝右葉下轉左，具有吸收營養物質，運送廢料的功能,行氣，通便,結腸炎，便秘，腹瀉，腹脹,150,80,100,img/color升結腸.png
26,橫結腸,橫結腸位於中上腹部，是大腸的一部分，具有吸收營養物質，運送廢料的功能,導滯，通便，止瀉,結腸炎，便秘，腹瀉，腹脹,180,100,160,img/color橫結腸.png
27,降結腸,降結腸位於左上腹，與橫結腸相接，沿腹部左側下降之左下腹，具有吸收營養物質，運送廢料的功能,導滯，通便，止瀉,結腸炎，便秘，腹瀉，腹脹,120,150,110,img/color降結腸.png
28,直腸,直腸位於左下腹，上接結腸，下接肛管至肛門，有運送大便從肛門排出的作用,清熱，補虛，通便，消炎,結腸炎，直腸炎，便秘，腹瀉,180,90,80,img/color直腸.png
29,肛門,位於消化系統末端，上接直腸，具有控制和排出大便的功能,消痔，止血，通便,痔瘡，肛裂，便秘，血便,200,100,150,img/color肛門.png
30,生殖腺,男性生殖腺睪丸位於陰囊內，左右各一，是生產精子和分泌男性激素的器官。女性生殖腺卵巢位在骨盆，左右各一，是生產卵子和分泌女性激素的器官,補腎益精,不孕症，月經不調，前列腺肥大，子宮肌瘤,220,70,100,img/color生殖腺.png
31,盲腸,盲腸位於右下腹，是大腸的起始，上接小腸，下連升結腸,消炎，加強腸胃蠕動,盲腸炎，下腹部脹氣,70,140,200,img/color盲腸.png